site::filter,page_name::filter,page_url,content_id,id_count,row_num,,,,,
oyster,hotel.detail,https://www.oyster.com/mackinac-island/hotels/grand-hotel/,92737,130,1,,,,,
oyster,hotel.detail,https://www.oyster.com/bavaro/hotels/melia-caribe-beach-resort/,9391,129,1,,,,,
oyster,hotel.detail,https://www.oyster.com/new-york-city/hotels/public/,115234,128,1,,,,,
oyster,hotel.detail,https://www.oyster.com/cancun/hotels/krystal-cancun/,78443,127,1,,,,,
oyster,hotel.detail,https://www.oyster.com/dominican-republic/hotels/majestic-mirage-punta-cana/,15877,127,1,,,,,
oyster,hotel.detail,https://www.oyster.com/paradise-island/hotels/the-reef-at-atlantis-autograph-collection/,110467,126,1,,,,,
oyster,hotel.detail,https://www.oyster.com/montego-bay/hotels/secrets-st-james-montego-bay/,113465,126,1,,,,,
oyster,hotel.detail,https://www.oyster.com/la-romana/hotels/casa-de-campo-resort-and-villas/,79986,124,1,,,,,
oyster,hotel.detail,https://www.oyster.com/fiji/hotels/naviti-resort/,98085,123,1,,,,,
oyster,hotel.detail,https://www.oyster.com/jamaica/hotels/hotel-riu-ocho-rios/,35652,122,1,,,,,
oyster,hotel.detail,https://www.oyster.com/riviera-maya/hotels/secrets-akumal-riviera-maya/,9028,122,1,,,,,
oyster,hotel.detail,https://www.oyster.com/playa-del-carmen/hotels/hotel-riu-palace-riviera-maya/,8465,122,1,,,,,
oyster,hotel.detail,https://www.oyster.com/negril/hotels/hedonism-ii/#,17336,122,1,,,,,
oyster,hotel.detail,https://www.oyster.com/dominican-republic/hotels/hotel-riu-republica/,28632,121,1,,,,,
oyster,hotel.detail,https://www.oyster.com/cancun/hotels/hotel-riu-palace-las-americas/,93590,120,1,,,,,
oyster,hotel.detail,https://www.oyster.com/jamaica/hotels/royalton-blue-waters/,36804,118,1,,,,,
oyster,hotel.detail,https://www.oyster.com/rose-hall/hotels/half-moon/,21234,117,1,,,,,
oyster,hotel.detail,https://www.oyster.com/cancun/hotels/sun-palace-all-inclusive/,68074,117,1,,,,,
oyster,hotel.detail,https://www.oyster.com/jamaica/hotels/sandals-ochi-beach-resort/,7847,116,1,,,,,
oyster,hotel.detail,https://www.oyster.com/los-cabos/hotels/hotel-riu-santa-fe/,65761,116,1,,,,,
oyster,hotel.detail,https://www.oyster.com/lakeville/hotels/cove-haven-resort/,27569,115,1,,,,,
oyster,hotel.detail,https://www.oyster.com/riviera-maya/hotels/dreams-riviera-cancun-resort-and-spa/,93602,113,1,,,,,
oyster,hotel.detail,https://www.oyster.com/playa-del-carmen/hotels/paradisus-playa-del-carmen-la-esmeralda/,109624,113,1,,,,,
oyster,hotel.detail,https://www.oyster.com/costa-rica/hotels/occidental-papagayo-adults-only/,17165,113,1,,,,,
oyster,hotel.detail,https://www.oyster.com/las-vegas/hotels/treasure-island-ti-hotel-and-casino/,20335,112,1,,,,,
oyster,hotel.detail,https://www.oyster.com/dominican-republic/hotels/hotel-riu-palace-macao/,80445,110,1,,,,,
oyster,hotel.detail,https://www.oyster.com/new-york-city/hotels/arlo-soho/,70659,110,1,,,,,
oyster,hotel.detail,https://www.oyster.com/hawaii/hotels/jw-marriott-ihilani-resort-and-spa-at-ko-olina/,44300,109,1,,,,,
